"geneID","Name","BaseMean","Log2FC","StErr","WaldStats","P-val","P-agj","Function"
"vnz_19575","phoU",513.0053479,-1.17585042,0.949199,-1.23878143,0.215426453,0.31589,"Nitrogen_phosphate"
"vnz_26110","amtB",35.87415563,2.907522666,0.461643,6.298208437,3.01e-10,5.77e-09,"Nitrogen_phosphate"
"vnz_26115","glnK",27.41229665,3.652150322,0.56971,6.410548388,1.45e-10,2.97e-09,"Nitrogen_phosphate"
"vnz_26120","glnD",31.4495875,2.567095177,0.423058,6.067947118,1.3e-09,2.24e-08,"Nitrogen_phosphate"
"vnz_27065","rshA",455.8401063,-3.18974484,0.400222,-7.96994005,1.59e-15,6.96e-14,"Nitrogen_phosphate"
"vnz_34930",NA,80.73897157,6.308476151,0.459421,13.73136567,6.59e-43,5.39e-40,"Nitrogen_phosphate"
"vnz_05240","sIHF",1510.017,-3.11749,0.347366,-8.97466,2.84e-19,1.97e-17,"Regulators"
"vnz_05285","bldD",378.3568,-0.87708,0.360662,-2.43185,0.015022,0.03755,"Regulators"
"vnz_05405","relA",313.4727,0.327186,0.325562,1.004989,0.314902,0.423183,"Regulators"
"vnz_13520","mtrB",247.4798,0.714093,0.374215,1.908246,0.056359,0.11,"Regulators"
"vnz_13525","mtrA",414.6493,0.6893,0.44393,1.552723,0.120489,0.200003,"Regulators"
"vnz_13755","draR",23.56582,0.185616,0.619924,0.299417,0.764622,0.830728,"Regulators"
"vnz_13760","draK",100.2305,-0.99959,0.363911,-2.74678,0.006018,0.017319,"Regulators"
"vnz_15230","afsR",79.75389,-0.11676,0.366888,-0.31823,0.750309,0.818559,"Regulators"
"vnz_15235","afsS",73.71798,-1.16728,0.437601,-2.66745,0.007643,0.021223,"Regulators"
"vnz_15890","lsr2",336.7976,-0.45696,0.410197,-1.11401,0.265,0.371292,"Regulators"
"vnz_16460","crp",277.4486,-0.54203,0.332851,-1.62844,0.103431,0.177173,"Regulators"
"vnz_19105","atrA",165.5696,-0.12467,0.437392,-0.28503,0.775617,0.839084,"Regulators"
"vnz_19350","glnR",186.7085,1.431839,0.384449,3.724391,0.000196,0.000972,"Regulators"
"vnz_19580","phoR",360.285,-2.36777,0.654719,-3.61647,0.000299,0.001384,"Regulators"
"vnz_19585","phoP",233.3358,-1.57569,0.619304,-2.54429,0.01095,0.028717,"Regulators"
"vnz_21250","abrC3",49.9529,-0.28133,0.433947,-0.64831,0.516783,0.620207,"Regulators"
"vnz_21255","abrC1",10.82081,1.127586,0.78212,1.441705,0.149386,0.237168,"Regulators"
"vnz_21260","abrC2",35.66081,0.531762,0.461296,1.152756,0.24901,0.353385,"Regulators"
"vnz_22600","afsQ2",66.04774,-1.08302,0.424773,-2.54965,0.010783,0.02838,"Regulators"
"vnz_22605","afsQ1",70.37879,-1.03378,0.470966,-2.19501,0.028163,0.062618,"Regulators"
"vnz_24210","dasR",35.36629,-0.9018,0.522456,-1.72608,0.084334,0.151324,"Regulators"
"vnz_24975","absC",118.7539,-2.5446,0.444438,-5.72544,1.03e-08,1.53e-07,"Regulators"
"vnz_25930","ndgR",70.88737,-1.00726,0.516589,-1.94982,0.051198,0.101748,"Regulators"
"vnz_27390","cutR",40.98135,-0.27508,0.519081,-0.52994,0.59615,0.690906,"Regulators"
"vnz_27395","cutS",45.56823,-0.25891,0.45425,-0.56996,0.568703,0.666549,"Regulators"
"vnz_28770","rok7B7",102.6568,0.864721,0.360233,2.400449,0.016375,0.040397,"Regulators"
"vnz_02070","nuoA",811.8619584,-3.184521,0.346023,-9.20321522,3.47e-20,2.75e-18,"TCA_ComplexI"
"vnz_08885","nuoB",1739.38019,-4.875727,0.388644,-12.545476,4.21e-36,1.63e-33,"TCA_ComplexI"
"vnz_09030","nuoC",1000.254081,-1.839525,0.328814,-5.59442188,2.21e-08,3.02e-07,"TCA_ComplexI"
"vnz_09045","nuoD",560.5350019,-0.521068,0.314334,-1.65768687,0.097381,0.16937,"TCA_ComplexI"
"vnz_18250","nuoE",237.2399282,-1.718666,0.458188,-3.75100464,0.000176,0.000884,"TCA_ComplexI"
"vnz_18335","nuoF",289.2614626,-2.225727,0.366404,-6.07450792,1.24e-09,2.15e-08,"TCA_ComplexI"
"vnz_20755","nuoG",182.5463362,-1.381217,0.38046,-3.63038588,0.000283,0.001324,"TCA_ComplexI"
"vnz_21055","nuoH",146.9545941,-1.915492,0.454995,-4.20991571,2.55e-05,0.000165,"TCA_ComplexI"
"vnz_21060","nuoI",123.4660222,-1.80867,0.421878,-4.28718817,1.81e-05,0.000122,"TCA_ComplexI"
"vnz_21065","nuoJ",96.82717923,-2.752913,0.483549,-5.69314532,1.25e-08,1.82e-07,"TCA_ComplexI"
"vnz_21070","nuoK",218.029392,-2.338302,0.421122,-5.55255396,2.82e-08,3.78e-07,"TCA_ComplexI"
"vnz_21075","nuoL",99.67653857,-3.314975,0.523247,-6.33539495,2.37e-10,4.61e-09,"TCA_ComplexI"
"vnz_21080","nuoM",215.2796891,-2.77321,0.424631,-6.53087193,6.54e-11,1.46e-09,"TCA_ComplexI"
"vnz_21085","nuoN",364.249456,-2.360401,0.366176,-6.44608001,1.15e-10,2.39e-09,"TCA_ComplexI"
"vnz_21090","icd",279.2319924,-3.085223,0.428613,-7.1981599,6.1e-13,1.83e-11,"TCA_ComplexI"
"vnz_21095","cox1",99.86520707,-2.302002,0.457342,-5.03343752,4.82e-07,5.05e-06,"TCA_ComplexI"
"vnz_21100","pdhL",189.0198358,-2.774256,0.477894,-5.80517168,6.43e-09,9.91e-08,"TCA_ComplexI"
"vnz_21105","aceE1",79.95658127,-2.394937,0.532833,-4.49472707,6.97e-06,5.33e-05,"TCA_ComplexI"
"vnz_21110","cydB",373.9529939,-2.541477,0.419205,-6.06261008,1.34e-09,2.31e-08,"TCA_ComplexI"
"vnz_21115","Dihydrolipoamide dehydrogenase",292.4567532,-2.840198,0.422626,-6.72036212,1.81e-11,4.36e-10,"TCA_ComplexI"
