gene ID,Base Mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj
vnz_02190,18.498616,0.2454682,0.640875,0.3830204,0.7017046,0.8315411
vnz_02195,38.412782,2.0407014,0.8427391,2.4215103,0.0154562,0.0561862
vnz_02200,8.5353256,0.7109852,1.046801,0.679198,0.4970124,0.6971459
vnz_02205,5.6788647,0,1.6455374,0,1,1
vnz_02210,2.442196,-0.6698724,1.5378816,-0.4355812,0.6631406,NA
vnz_02215,3.7700143,0,1.6739521,0,1,NA
vnz_02220,3.2361668,1.5791282,1.6457293,0.959531,0.3372913,NA
vnz_02225,7.7315019,-0.3100598,1.0181797,-0.3045236,0.760729,0.8737976
vnz_02230,13.521469,0.1495927,0.7258169,0.2061026,0.8367108,0.9210755
vnz_02235,8.5459727,-0.1815091,0.9369246,-0.1937286,0.8463884,0.9271019
vnz_02240,9.4279324,0.8563672,0.9776088,0.8759815,0.3810401,0.5894873
vnz_02245,4.8533035,1.7588631,1.1953378,1.471436,0.1411732,0.2998089
vnz_02250,9.2379694,-2.4456422,1.3971472,-1.7504542,0.08004,0.1995479
vnz_02255,450.05885,0.9736512,0.5647108,1.7241592,0.0846791,0.2071455
vnz_02260,115.74446,-0.5203676,0.6854961,-0.7591109,0.4477862,0.6562489
vnz_02265,170.63389,0.1914999,0.6256274,0.3060926,0.7595341,0.8725792
vnz_02270,17.308328,0.6812894,0.9314402,0.7314365,0.4645126,0.6687131
vnz_02275,21.098404,-0.7809006,1.1060187,-0.7060465,0.4801592,0.6814386
vnz_02280,12.407364,1.5343347,0.8141788,1.8845181,0.0594949,0.1605031
vnz_02285,33.382616,-1.5894636,0.4706406,-3.3772341,0.0007322,0.0043589
vnz_02290,6.1186071,0.6309831,1.4068978,0.4484925,0.6537978,0.8045125
vnz_02295,3.2393903,0,1.6680463,0,1,NA
vnz_02300,13.777832,0.4813908,0.6902932,0.6973715,0.4855703,0.686584
vnz_02305,25.84189,1.5745156,0.8997547,1.7499386,0.0801289,0.1996931
vnz_02310,43.035862,1.4746458,0.7579291,1.9456249,0.0516998,0.1443203
vnz_02315,3.5072727,0,1.6574747,0,1,NA
vnz_02320,5.5761787,0,1.6496833,0,1,1
vnz_02325,0.4929255,0,1.7571949,0,1,NA
vnz_02330,2.5058024,0,1.7458586,0,1,NA
vnz_02335,11.025998,0.9893798,0.8742989,1.1316265,0.2577915,0.4627446
vnz_02340,11.614158,1.6153806,1.4550067,1.1102221,0.2669033,0.4725316
vnz_02345,6.8993408,2.332598,1.4259591,1.6358099,0.1018794,0.2365914
vnz_02350,2.7053746,0,1.7160591,0,1,NA
vnz_02355,3.8931418,2.0647217,1.4942705,1.381759,0.1670457,NA
vnz_02360,8.153846,1.5604483,1.4996064,1.0405719,0.2980743,0.5040461
vnz_02365,6.1675467,2.0417867,1.4767608,1.3826116,0.166784,0.3390093
vnz_02375,41.990389,0.7135125,0.4557182,1.5656879,0.1174217,0.2620998
vnz_02380,19.36193,3.134949,0.7878439,3.9791502,6.92E-05,0.0005295
vnz_02385,37.220991,3.9485872,0.7833372,5.0407247,4.64E-07,5.20E-06
vnz_02390,2.8086273,0,1.6855088,0,1,NA
