gene ID,Base Mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj
vnz_02125,5.1769279,1.1073424,1.3580365,0.8153996,0.4148436,0.6167325
vnz_02130,5.3784981,3.0669123,1.3804693,2.2216446,0.0263073,0.095636
vnz_02135,22.930318,4.8509972,1.1156904,4.3479779,1.37E-05,0.0001536
vnz_02140,198.23348,5.7035065,0.5437569,10.489074,9.70E-26,1.04E-23
vnz_02145,18.70352,0.9183728,0.6892423,1.3324381,0.1827163,0.3696101
vnz_02150,25.944151,1.5505107,1.0809896,1.4343437,0.1514742,0.3281709
vnz_02155,4.2870521,0.4295623,1.313143,0.3271253,0.7435731,0.8684488
vnz_02160,87.372597,3.4230764,0.5543335,6.1751211,6.61E-10,1.53E-08
vnz_02165,8.9218612,2.0562341,0.9866457,2.0840654,3.72E-02,0.1241046
vnz_02170,29.167082,-0.0176377,0.6183369,-0.0285244,0.9772439,0.9909645
vnz_02175,63.292734,-0.0899095,0.5496331,-0.1635809,0.8700611,0.9343704
vnz_02180,5.547559,1.3401348,1.1098829,1.2074561,0.2272566,0.4238529
vnz_02185,239.38138,-0.0368563,0.4175209,-0.0882742,0.9296588,0.9698047
vnz_02190,18.498616,0.4517828,0.7713164,0.5857295,0.5580573,0.7350131
vnz_02195,38.412782,-2.806942,0.608428,-4.6134334,3.96E-06,5.00E-05
vnz_02200,8.5353256,-1.3184095,0.9505933,-1.3869332,0.1654621,0.3465939
vnz_02205,5.6788647,2.5198023,1.4493767,1.7385421,0.0821153,0.2199063
vnz_02210,2.442196,1.2405169,1.4533889,0.853534,0.3933632,0.5973984
vnz_02215,3.7700143,3.8996518,1.5201263,2.5653472,0.0103073,0.047031
vnz_02220,3.2361668,1.4307592,1.5459957,0.9254613,0.354726,0.5586895
vnz_02225,7.7315019,0.5837999,1.0533354,0.5542394,0.579415,0.7521597
vnz_02230,13.521469,0.3602594,0.7556057,0.4767822,0.6335172,0.7912537
vnz_02235,8.5459727,-1.649477,1.0513306,-1.5689422,0.1166614,0.2769046
vnz_02240,9.4279324,1.4107286,0.9017344,1.5644614,0.1177093,0.278179
vnz_02245,4.8533035,0.4574059,1.1142177,0.4105175,0.6814264,0.8275583
vnz_02250,9.2379694,1.1850643,1.078524,1.0987834,0.2718625,0.4729032
vnz_02255,450.05885,3.6220125,0.4294642,8.4337943,3.35E-17,1.93E-15
vnz_02260,115.74446,3.2910722,0.5845058,5.6305209,1.80E-08,3.47E-07
vnz_02265,170.63389,4.6413072,0.6017578,7.7129161,1.23E-14,5.34E-13
vnz_02270,17.308328,1.8321533,0.7075541,2.5894179,0.0096138,0.0444459
vnz_02275,21.098404,3.2587287,0.8166031,3.9905907,6.59E-05,0.0006237
vnz_02280,12.407364,0.0520313,0.7839593,0.0663698,0.9470834,0.9773227
vnz_02285,33.382616,-0.2473744,0.5873301,-0.4211847,0.6736202,0.8226163
vnz_02290,6.1186071,3.1075351,1.3018735,2.3869715,0.0169878,0.068787
vnz_02295,3.2393903,1.5970574,1.4382706,1.1104013,0.2668262,0.4678215
vnz_02300,13.777832,0.4929769,0.7172801,0.6872865,0.4919022,0.6833531
vnz_02305,25.84189,1.4058353,0.5700342,2.4662296,0.0136544,0.0583488
vnz_02310,43.035862,0.8485894,0.5469477,1.5515,0.1207819,0.2830776
vnz_02315,3.5072727,1.1347979,1.30484,0.8696836,0.3844734,0.5890618
vnz_02320,5.5761787,1.4788982,1.2579849,1.1756089,0.2397512,0.4399687
vnz_02325,0.4929255,0.7419997,1.7571949,0.4222638,0.6728325,NA
vnz_02330,2.5058024,3.1541541,1.6801418,1.8773142,0.060475,0.1773901
vnz_02335,11.025998,0.9588187,0.8337695,1.1499804,0.2501519,0.4505281
vnz_02340,11.614158,4.1984557,1.2167496,3.4505503,0.0005594,0.0041162
vnz_02345,6.8993408,3.0217701,1.1808808,2.558912,0.0105,0.0476711
vnz_02350,2.7053746,1.1369516,1.6520719,0.6881974,0.4913285,0.6829582
vnz_02355,3.8931418,0.4090927,1.4282269,0.2864339,0.7745458,0.885803
vnz_02360,8.153846,1.3473952,1.0978284,1.2273277,0.2196994,0.4145592
vnz_02365,6.1675467,1.1016316,1.164197,0.9462588,0.3440166,0.5458305
vnz_02375,41.990389,-0.8606858,0.4784744,-1.7988127,0.0720483,0.2007875
vnz_02380,19.36193,-1.7435375,0.7907165,-2.2050096,0.0274534,0.0986873
vnz_02385,37.220991,0.1937607,0.7252121,0.267178,0.7893321,0.893983
vnz_02390,2.8086273,1.2301519,1.6817192,0.7314847,0.4644831,0.6597655
vnz_02395,5.9259004,3.3719467,1.314419,2.5653514,0.0103071,0.047031
vnz_02400,17.978122,1.7086299,0.9466426,1.8049367,0.0710846,0.1990256
vnz_02405,24.659632,1.6093386,0.8571555,1.877534,0.0604449,0.1773753
vnz_02410,1.8045612,1.6092449,1.6838402,0.9556993,3.39E-01,NA
vnz_02415,11.419793,1.6389348,0.9235021,1.7746953,0.0759482,0.2075527
vnz_02420,25.778139,0.1996747,0.6262882,0.3188224,0.7498612,0.8717665
vnz_02425,12.188377,0.9030028,0.7851928,1.1500396,0.2501276,0.4505281
vnz_02430,4.0840826,0.8960368,1.3563335,0.6606317,0.5088486,0.6986673
vnz_02435,26.746356,1.4568344,0.7489071,1.9452806,0.0517412,0.1589671
vnz_02440,7.8862567,1.3624404,1.035834,1.3153076,0.1884065,0.3767066
vnz_02445,11.733769,1.8991472,0.9888599,1.9205423,0.0547894,0.1648107
vnz_02450,5.8075615,1.8974432,1.1967575,1.5854868,0.1128558,0.2704107
vnz_02455,5.0906265,4.509266,1.4581008,3.0925613,0.0019844,0.0122989
vnz_02460,21.601423,2.6957131,0.8783617,3.0690241,0.0021476,0.0131523
vnz_02465,3.3254166,1.9059535,1.5172632,1.2561785,0.2090513,0.4019531
vnz_02470,9.7826207,0.3248493,0.893495,0.3635715,0.716178,0.8516647
vnz_02475,28.386426,0.1472275,0.6308121,0.2333937,0.8154557,0.9085396
vnz_02480,20.070521,0.7351808,0.7331221,1.0028081,0.3159535,0.5186268
vnz_02485,6.9955443,0.1871368,1.1157926,0.1677165,0.8668063,0.9324475
vnz_02490,16.985555,-0.1781,0.7892626,-0.2256536,0.8214708,0.9106575
vnz_02495,21.540779,3.7536035,0.7763623,4.8348607,1.33E-06,1.88E-05
vnz_02500,6.7302577,0.3011565,1.0636462,0.283136,0.7770726,0.8871161
vnz_02505,21.635005,-0.9393929,0.7479871,-1.2558946,0.2091542,0.4019531
vnz_02510,242.23099,5.0329989,0.6044806,8.3261543,8.35E-17,4.65E-15
vnz_02515,27.024736,-0.0118072,0.5667288,-0.0208339,0.9833782,0.9927757
vnz_02520,27.476962,-1.0296952,0.6267749,-1.6428468,0.1004146,0.2497311
vnz_02525,248.09188,-0.8363566,0.3616509,-2.3126073,0.0207442,0.0803655
vnz_02530,2.227619,2.1906926,1.7403249,1.2587837,0.2081085,0.4010323
vnz_02535,2.0681574,3.0691109,1.7001775,1.8051708,0.071048,0.1990017
vnz_02540,10.91699,4.0969175,1.3172153,3.1102869,0.0018691,0.0117176
vnz_02545,1.620849,1.1103758,1.7929886,0.6192877,0.5357268,NA
vnz_02550,3.1404214,2.9001849,1.5486562,1.8727107,0.0611084,0.178508
vnz_02555,5.0272008,1.7806427,1.6984212,1.0484105,0.2944495,0.4975205
vnz_02560,5.1202723,2.1687555,1.2521232,1.7320625,0.0832624,0.2218869
vnz_02565,3.5626211,0.3527978,1.5472678,0.2280134,0.8196358,0.909909
vnz_02570,5.1123844,3.353527,1.437153,2.3334517,0.0196245,0.0770393
vnz_02575,4.1619908,2.9805565,1.521028,1.9595672,0.0500464,0.1556157
vnz_02580,4.700778,2.8300045,1.4829204,1.9083995,0.0563396,0.1682581
vnz_02585,10.227783,4.3908551,1.2620583,3.4791222,0.0005031,0.0037599
vnz_02590,12.118503,1.0167026,0.9504254,1.0697342,0.284739,0.4871669
vnz_02595,125.0564,-0.0776253,0.3694314,-0.2101211,0.8335731,0.9169045
vnz_02600,3.4799021,-0.0280889,1.3842065,-0.0202924,0.9838101,0.992787
vnz_02605,25.728895,1.744096,0.6712055,2.5984531,0.0093645,0.043492
vnz_02610,10.474784,1.9507729,0.8595193,2.2696093,0.0232313,0.0871851
vnz_02615,68.959902,4.9986467,0.683983,7.3081452,2.71E-13,9.93E-12
vnz_02620,195.18305,6.3764778,0.6906823,9.2321431,2.65E-20,1.84E-18
vnz_02625,6.4361587,-0.0546877,0.9382748,-0.0582854,0.9535213,0.9793968
vnz_02630,11.637797,-2.3110516,0.8746802,-2.6421674,0.0082377,0.0394497
vnz_02635,25.456988,-0.1596738,0.6397111,-0.2496031,0.8028943,0.9016856
vnz_02640,870.04131,-1.6264355,0.3283942,-4.9526932,7.32E-07,1.07E-05
vnz_02645,269.19006,-2.4885695,0.3774128,-6.5937609,4.29E-11,1.17E-09
vnz_02650,195.60331,-1.940477,0.4032347,-4.8122774,1.49E-06,2.07E-05
vnz_02655,227.71591,-1.1778709,0.3927755,-2.9988399,0.0027101,0.0160923
vnz_02660,1294.7454,-2.69699,0.3156772,-8.5435049,1.30E-17,7.74E-16
vnz_02665,64.120886,3.9862554,0.5803365,6.8688687,6.47E-12,1.97E-10
vnz_02670,9.6059981,2.1313085,1.0900102,1.9553106,0.0505464,0.1566098
vnz_02675,32.925898,1.3131865,0.5120188,2.5647231,0.0103258,0.047031
vnz_02680,13.747408,-1.1184735,0.8013843,-1.3956769,0.1628118,0.3434266
vnz_02685,21.997262,1.3232214,0.6588169,2.0084815,0.0445922,0.1428806
vnz_02690,9.4407763,-1.2760658,0.8716079,-1.4640364,0.143184,0.3161124
