gene ID,Base Mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj
vnz_02730,5.9487086,1.008991966,1.0421944,0.9681418,0.3329736,0.4416553
vnz_02735,3.4842739,4.853662136,1.3851553,3.5040562,0.0004582,0.0019931
vnz_02740,6.3478977,5.183239194,0.9870235,5.2513836,1.51E-07,1.76E-06
vnz_02745,98.868894,-0.690832432,0.421766,-1.6379518,0.1014317,0.1748054
vnz_02750,45.435388,1.249095857,0.4719371,2.6467425,0.0081271,0.0223899
vnz_02755,256.92258,0.97860595,0.3899558,2.5095305,0.0120892,0.0312549
vnz_02760,226.39964,1.087154683,0.426726,2.5476647,0.0108447,0.0285113
vnz_02765,45.932814,0.118046758,0.5280917,0.2235346,0.8231195,0.8735889
vnz_02770,32.721473,0.305129035,0.4596842,0.6637796,0.5068314,0.6103526
vnz_02775,24.329191,-0.33974305,0.7225296,-0.4702134,0.6382026,0.7278495
vnz_02780,110.88775,-3.289653379,0.5857044,-5.616576,1.95E-08,2.70E-07
vnz_02785,44.794128,0.110645039,0.4803629,0.2303363,0.8178304,0.8705098
vnz_02790,3.4834565,6.582571247,1.5910675,4.1372044,3.52E-05,0.0002185
vnz_02795,9.1166907,4.448550488,1.0941937,4.0655968,4.79E-05,0.0002852
vnz_02800,4.6850014,2.908849955,1.01911,2.8543042,0.0043131,0.0130707
vnz_02805,8.1429823,1.711378423,0.7855999,2.1784352,0.0293736,0.0645887
vnz_02810,15.355864,0.64768037,0.6332493,1.0227889,0.3064076,0.4141677
vnz_02815,23.512251,-0.097935573,0.5525254,-0.1772508,8.59E-01,0.900138
vnz_02820,13.224262,-0.035430545,0.7269257,-0.0487403,9.61E-01,9.73E-01
vnz_02825,15.920833,0.784092566,0.6662576,1.1768611,0.239251,0.3435129
vnz_02830,37.211811,-0.878036655,0.600431,-1.4623441,0.1436469,0.2303606
vnz_02835,26.078646,0.526233834,0.5746856,0.9156899,0.3598296,0.4688225
vnz_02840,19.610386,0.630899179,0.5743919,1.0983775,0.2720397,0.378481
vnz_02845,19.196781,-1.679674155,0.6905995,-2.4321973,0.0150075,0.0375265
vnz_02850,4.7376993,2.450032955,1.1110272,2.2051962,0.0274403,0.0614383
vnz_02855,6.1371024,2.19409405,0.8894776,2.4667221,0.0136356,0.0345061
vnz_02860,11.210762,2.671157016,0.7190962,3.7146031,0.0002035,0.0010045
vnz_02865,6.635483,2.428845828,0.9475947,2.5631695,0.0103721,0.0274454
vnz_02870,2.7248865,1.670324354,1.244558,1.3421025,0.1795628,0.2730333
vnz_02875,12.40223,5.023130516,0.8264452,6.0779958,1.22E-09,2.12E-08
vnz_02880,13.713077,3.452599392,0.7133023,4.8403028,1.30E-06,1.24E-05
vnz_02885,11.824301,0.748047488,0.6787152,1.1021523,0.2703955,0.376977
vnz_02890,8.8981188,2.460081692,0.7545968,3.2601275,0.0011136,0.0042123
vnz_02895,11.274599,2.935858662,0.7316159,4.0128413,6.00E-05,0.0003451
vnz_02900,7.2618706,3.361547578,0.9459426,3.5536487,0.0003799,0.0016946
vnz_02905,77.515317,1.078052131,0.4517421,2.3864329,0.0170127,0.0416966
vnz_02910,35.019378,0.727781387,0.5904759,1.2325336,0.2177498,0.3183462
vnz_02915,171.98688,2.916021929,0.4326959,6.7391949,1.59E-11,3.87E-10
vnz_02920,52.486714,1.439100341,0.5219106,2.7573693,0.0058269,0.0168402
vnz_02925,114.9244,1.183409597,0.4648058,2.5460302,0.0108956,0.0285941
vnz_02930,56.700722,-1.144436044,0.7431139,-1.5400547,0.123547,0.203854
vnz_02935,21.434495,0.234148368,0.6052164,0.3868837,0.6988423,0.7749247
vnz_02940,7.6039888,1.422844983,0.7939708,1.7920621,0.073123,0.1350584
vnz_02945,18.875771,2.504465497,0.7556987,3.3141059,0.0009194,0.0036031
vnz_02950,4.717747,6.381220939,1.3032667,4.8963276,9.76E-07,9.66E-06
vnz_02955,74.419315,1.637196343,0.3620325,4.5222357,6.12E-06,4.79E-05
vnz_02960,8.3501827,1.74992335,0.7562514,2.3139441,0.0206708,0.0488431
vnz_02965,3.9510277,2.211131715,1.0994247,2.0111717,0.0443073,0.0905163
vnz_02970,20.571132,0.920568893,0.6536799,1.408287,0.1590461,0.2482967
vnz_02975,24.332933,-0.183377746,0.8935873,-0.2052153,0.837404,0.8851325
vnz_02980,10.345866,0.807600376,1.0184346,0.7929821,0.4277883,0.5373622
vnz_02985,7.6505875,2.326719908,1.0488336,2.2183881,0.0265284,0.0597467
vnz_02990,13.0608,1.658498032,0.8216861,2.0184084,0.0435487,0.0894042
vnz_02995,5.3989256,1.38325848,0.9013604,1.5346342,0.1248737,0.2058585
vnz_03000,19.644755,2.031138087,0.7278945,2.7904293,0.0052638,0.0154495
vnz_03005,8.8030427,2.485817561,1.0661167,2.3316561,0.0197188,0.0471152
vnz_03010,8.428401,1.354019032,0.8782668,1.5416944,0.1231479,0.2034062
vnz_03015,7.4168754,4.749428723,1.0367721,4.5809766,4.63E-06,3.80E-05
vnz_03020,4.8136917,2.17706056,1.2066027,1.8042895,0.0711859,0.1319772
vnz_03025,21.275806,1.293468803,0.6936439,1.8647447,0.0622172,0.1182978
vnz_03030,3.1246506,1.878794163,1.1988012,1.5672275,0.1170615,0.195785
vnz_03035,10.326945,1.218436527,0.7538694,1.6162435,0.1060417,0.1809293
vnz_03040,96.189832,1.779842153,0.4435585,4.0126433,6.00E-05,0.0003452
vnz_03045,101.45816,-1.711129603,0.3944442,-4.3380778,1.44E-05,0.0001
vnz_03050,66.20061,-2.061223446,0.4428796,-4.6541395,3.25E-06,2.78E-05
vnz_03055,206.58161,2.330588215,0.5157847,4.5185293,6.23E-06,4.84E-05
vnz_03060,53.199652,3.791775168,0.4741822,7.9964518,1.28E-15,5.75E-14
vnz_03065,12.400192,0.616733844,0.6448785,0.9563567,0.3388921,0.4474809
vnz_03070,36.125736,2.103086572,0.5473055,3.8426191,0.0001217,0.0006398
vnz_03075,9.0718033,0.998003861,0.8335285,1.1973241,0.2311802,0.3345934
vnz_03080,38.020201,0.614993537,0.4092288,1.5028111,0.1328878,0.216597
vnz_03085,23.295485,-0.210730636,0.5580529,-0.3776177,0.7057146,0.7807816
vnz_03095,16.732606,0.289417641,0.6569261,0.4405635,0.6595291,0.7466453
vnz_03100,33.746796,-0.063475279,0.5295358,-0.1198697,0.9045864,0.9334885
vnz_03105,64.039834,2.444322115,0.458506,5.3310575,9.76E-08,1.18E-06
vnz_03110,15.803928,1.346155947,0.6745483,1.9956406,0.0459731,0.0932119
vnz_03115,38.157176,1.040546559,0.454948,2.2871771,0.0221855,0.0517825
vnz_03120,33.765886,0.504114529,0.4555811,1.1065307,0.2684969,0.3749689
vnz_03125,24.582271,1.578852466,0.5158615,3.0606134,0.0022088,0.0074341
vnz_03130,33.954548,0.128998945,0.4650753,0.2773722,0.7814943,0.8437068
vnz_03135,12.940791,0.330559237,0.6143665,0.5380489,0.5905433,0.6862491
vnz_03140,9.9296273,2.352427135,0.7286315,3.2285554,0.0012442,0.0046133
vnz_03145,12.055781,0.199611357,0.6741432,0.2960964,0.7671565,0.832622
vnz_03155,12.263386,0.21429557,0.7057655,0.3036356,0.7614055,0.8276
vnz_03160,2.6749519,0.637142193,1.2241605,0.5204728,0.6027341,0.697006
vnz_03165,9.9222503,-0.506131156,0.8461403,-0.5981646,0.5497301,0.648752
vnz_03175,2.6347239,-0.068899589,1.3223259,-0.0521048,0.9584452,0.9716396
