"geneID","Name","BaseMean","Log2FC","StErr","WaldStats","P-val","P-agj","Function"
"vnz_19265","pstS",2533.495193,1.788040844,0.957428,1.867545913,0.061825391,0.179934,"Nitrogen_phosphate"
"vnz_19575","phoU",513.0053479,1.645802049,0.952673,1.727563131,0.084066578,0.223082,"Nitrogen_phosphate"
"vnz_26110","amtB",35.87415563,0.548873477,0.588102,0.933295717,0.350667306,0.553899,"Nitrogen_phosphate"
"vnz_26115","glnK",27.41229665,0.840414786,0.761545,1.103566038,0.26978143,0.470787,"Nitrogen_phosphate"
"vnz_26120","glnD",31.4495875,1.624722576,0.569278,2.854006757,0.004317161,0.023469,"Nitrogen_phosphate"
"vnz_27065","rshA",455.8401063,-1.82474925,0.378599,-4.81974458,1.44e-06,2.01e-05,"Nitrogen_phosphate"
"vnz_34930",NA,80.73897157,3.061497053,0.721349,4.244129532,2.19e-05,0.00023,"Nitrogen_phosphate"
"vnz_05240","sIHF",1510.017,-1.27616,0.341877,-3.73282,0.000189,0.001599,"Regulators"
"vnz_05285","bldD",378.3568,1.223317,0.3659,3.343314,0.000828,0.005805,"Regulators"
"vnz_05405","relA",313.4727,0.961021,0.340244,2.82451,0.004735,0.025211,"Regulators"
"vnz_13520","mtrB",247.4798,1.62527,0.391495,4.151447,3.3e-05,0.000335,"Regulators"
"vnz_13525","mtrA",414.6493,1.916554,0.452028,4.239904,2.24e-05,0.000233,"Regulators"
"vnz_13755","draR",23.56582,0.07669,0.69597,0.110191,0.912258,0.958575,"Regulators"
"vnz_13760","draK",100.2305,-0.7675,0.366129,-2.09627,0.036058,0.121476,"Regulators"
"vnz_15230","afsR",79.75389,-0.54129,0.387395,-1.39725,0.162337,0.343197,"Regulators"
"vnz_15235","afsS",73.71798,-2.32784,0.44031,-5.28682,1.24e-07,2.08e-06,"Regulators"
"vnz_15890","lsr2",336.7976,-0.14386,0.411149,-0.34989,0.726422,0.858653,"Regulators"
"vnz_16460","crp",277.4486,-0.38356,0.345576,-1.10991,0.267036,0.468003,"Regulators"
"vnz_19105","atrA",165.5696,-1.32883,0.447305,-2.97075,0.002971,0.017349,"Regulators"
"vnz_19350","glnR",186.7085,-0.62861,0.406894,-1.54491,0.122368,0.285285,"Regulators"
"vnz_19580","phoR",360.285,0.811255,0.661638,1.226131,0.220149,0.415082,"Regulators"
"vnz_19585","phoP",233.3358,1.861518,0.636311,2.925484,0.003439,0.019505,"Regulators"
"vnz_21250","abrC3",49.9529,-1.98548,0.514926,-3.85586,0.000115,0.00104,"Regulators"
"vnz_21255","abrC1",10.82081,1.060256,0.892886,1.187448,0.235051,0.433705,"Regulators"
"vnz_21260","abrC2",35.66081,-0.02059,0.515991,-0.0399,0.968,0.986569,"Regulators"
"vnz_22600","afsQ2",66.04774,-0.35355,0.429528,-0.82311,0.410446,0.612769,"Regulators"
"vnz_22605","afsQ1",70.37879,-0.18957,0.473197,-0.40062,0.688699,0.832405,"Regulators"
"vnz_24210","dasR",35.36629,-0.52091,0.531782,-0.97956,0.327303,0.530315,"Regulators"
"vnz_24975","absC",118.7539,-0.23166,0.439208,-0.52744,0.597885,0.765111,"Regulators"
"vnz_25930","ndgR",70.88737,-0.53877,0.512652,-1.05096,0.293279,0.496372,"Regulators"
"vnz_27390","cutR",40.98135,1.000054,0.529628,1.88822,0.058996,0.174281,"Regulators"
"vnz_27395","cutS",45.56823,-0.02888,0.490327,-0.0589,0.95303,0.979287,"Regulators"
"vnz_28770","rok7B7",102.6568,-0.57824,0.3897,-1.4838,0.137861,0.307681,"Regulators"
"vnz_02070","nuoA",811.8619584,-0.881396,0.314921,-2.79878047,0.00513,0.026874,"TCA_ComplexI"
"vnz_08885","nuoB",1739.38019,-1.067228,0.349127,-3.05684786,0.002237,0.013648,"TCA_ComplexI"
"vnz_09030","nuoC",1000.254081,0.095784,0.329127,0.291024313,0.771033,0.884267,"TCA_ComplexI"
"vnz_09045","nuoD",560.5350019,-1.825313,0.298084,-6.12349513,9.15e-10,2.08e-08,"TCA_ComplexI"
"vnz_18250","nuoE",237.2399282,-0.587153,0.495659,-1.18458983,0.23618,0.43522,"TCA_ComplexI"
"vnz_18335","nuoF",289.2614626,0.067657,0.357068,0.189479944,0.849717,0.925359,"TCA_ComplexI"
"vnz_20755","nuoG",182.5463362,-2.37045,0.373405,-6.34819422,2.18e-10,5.43e-09,"TCA_ComplexI"
"vnz_21055","nuoH",146.9545941,-1.078921,0.451467,-2.38981294,0.016857,0.068492,"TCA_ComplexI"
"vnz_21060","nuoI",123.4660222,-1.241661,0.404301,-3.071129,0.002133,0.01308,"TCA_ComplexI"
"vnz_21065","nuoJ",96.82717923,-1.674573,0.430516,-3.88969001,1e-04,0.000917,"TCA_ComplexI"
"vnz_21070","nuoK",218.029392,-2.121447,0.402145,-5.27532366,1.33e-07,2.21e-06,"TCA_ComplexI"
"vnz_21075","nuoL",99.67653857,-2.193827,0.441503,-4.96899819,6.73e-07,9.9e-06,"TCA_ComplexI"
"vnz_21080","nuoM",215.2796891,-2.502682,0.387154,-6.46431177,1.02e-10,2.66e-09,"TCA_ComplexI"
"vnz_21085","nuoN",364.249456,-2.020035,0.345282,-5.85039781,4.9e-09,1.04e-07,"TCA_ComplexI"
"vnz_21090","icd",279.2319924,-3.02293,0.387846,-7.79415806,6.48e-15,2.9e-13,"TCA_ComplexI"
"vnz_21095","cox1",99.86520707,-1.641634,0.419701,-3.91143679,9.17e-05,0.000847,"TCA_ComplexI"
