geneID,Name,BaseMean,Log2FC,StErr,WaldStats,P-val,P-agj,Function
vnz_22925,Melanin,10.45453092,3.666492,1.306192,2.807008703,0.005,0.022029,Biosynthetic
vnz_22930,Melanin,9.520620748,2.852534,1.162417,2.453967216,0.014129,0.052297,Biosynthetic
vnz_22935,Melanin,10.91072217,2.931575,1.361395,2.153361336,0.03129,0.097326,Biosynthetic
vnz_22940,Melanin,29.49967798,4.61553,1.198899,3.849808135,0.000118,0.000858,Biosynthetic
vnz_22945,Melanin,27.71859155,4.126341,1.033107,3.994106779,6.49E-05,0.000501,Biosynthetic
vnz_22950,Melanin,15.73663935,2.461405,1.047589,2.349589611,0.018794,0.065855,Biosynthetic
vnz_22955,Melanin,37.89796062,4.893342,1.018553,4.804207835,1.55E-06,1.61E-05,Biosynthetic
vnz_22960,Melanin,196.1395908,8.731382,1.05352,8.287820128,1.15E-16,5.04E-15,Biosynthetic
vnz_22965,Melanin,32.1163851,4.179556,0.763912,5.471256829,4.47E-08,6.00E-07,Biosynthetic
vnz_22970,Melanin,35.70391206,4.242595,0.767625,5.526910876,3.26E-08,4.47E-07,Biosynthetic
vnz_22975,Melanin,77.8986251,7.447894,0.876556,8.496764978,1.95E-17,9.26E-16,Biosynthetic
vnz_22980,Melanin,16.71156453,6.501505,1.24046,5.241204499,1.60E-07,1.95E-06,Biosynthetic
vnz_22985,Melanin,647.8451141,6.430223,0.362558,17.7357243,2.22E-70,1.45E-66,Biosynthetic
vnz_22990,Melanin,123.6788411,4.650006,0.687176,6.766832775,1.32E-11,3.11E-10,Biosynthetic
vnz_22995,Melanin,44.5481416,3.512514,0.812057,4.325455345,1.52E-05,0.000133,Biosynthetic
vnz_23000,Melanin,290.9640831,3.857761,0.409771,9.414423414,4.76E-21,3.29E-19,Biosynthetic
vnz_23005,Melanin,347.7701196,3.895051,0.350049,11.12715054,9.25E-29,1.63E-26,Biosynthetic
vnz_23010,Melanin,48.60205873,3.238177,0.572168,5.659484114,1.52E-08,2.19E-07,Biosynthetic
vnz_23015,Melanin,42.02242208,-0.651802,0.46668,-1.39667837,0.16251,0.332952,Biosynthetic
vnz_23020,Melanin,78.74154548,-0.774192,0.448768,-1.72515139,0.0845,0.206863,Biosynthetic
vnz_23025,Melanin,7.333160636,0,1.610188,0,1,1,Biosynthetic
vnz_23030,Melanin,20.67266076,-1.483205,1.424652,-1.04109931,0.297829,0.503869,Biosynthetic
vnz_23035,Melanin,20.17628634,-1.425962,1.083511,-1.31605619,0.188155,0.367886,Biosynthetic
vnz_23040,Melanin,24.56354837,-0.885816,0.904371,-0.97948323,0.327341,0.534151,Biosynthetic
vnz_34650,NRPS,10.06623,0.484448,0.930441,0.520665171,0.6026,0.772113,Biosynthetic
vnz_34655,NRPS,86.43002675,0.931751,0.381654,2.441350018,0.014632,0.053823,Biosynthetic
vnz_34660,NRPS,61.26906929,0.10889,0.428339,0.254213922,0.79933,0.897556,Biosynthetic
vnz_34665,NRPS,128.5608935,0.131175,0.312849,0.419293053,0.675002,0.816098,Biosynthetic
vnz_34670,NRPS,101.3634533,0.780392,0.356968,2.186165936,0.028803,0.091466,Biosynthetic
vnz_34675,NRPS,57.30933729,0.196269,0.474212,0.41388467,0.678959,0.818423,Biosynthetic
vnz_34680,NRPS,333.1710849,0.5297,0.282325,1.876207644,0.060627,0.162479,Biosynthetic
vnz_34685,NRPS,63.38672101,0.094619,0.426381,0.221912302,0.824382,0.911513,Biosynthetic
vnz_34690,NRPS,218.7481815,0.479602,0.35034,1.368963311,0.171011,0.345111,Biosynthetic
vnz_34695,NRPS,118.2497311,0.197823,0.347474,0.569317286,0.569141,0.745703,Biosynthetic
vnz_34700,NRPS,59.57379848,-0.055136,0.446745,-0.12341805,0.901776,0.963523,Biosynthetic
vnz_34705,NRPS,77.3623491,-1.025392,0.409872,-2.50174042,0.012358,0.046835,Biosynthetic
vnz_34710,NRPS,44.12540535,-0.819185,0.44237,-1.85180971,0.064053,0.169291,Biosynthetic
vnz_34715,NRPS,63.74757886,-0.650717,0.434736,-1.49681175,0.134442,0.289563,Biosynthetic
vnz_34720,NRPS,93.0293154,-0.938843,0.418628,-2.24266391,0.024918,0.081603,Biosynthetic
vnz_34725,NRPS,40.47755653,1.047458,0.497165,2.106862854,0.035129,0.106568,Biosynthetic
vnz_34730,NRPS,22.23017068,1.342634,0.590222,2.274795211,0.022918,0.076359,Biosynthetic
vnz_34735,NRPS,9.252499834,0.56286,0.84079,0.669441442,0.503214,0.702082,Biosynthetic
vnz_34740,NRPS,56.69874815,0.469019,0.546338,0.858478031,0.390629,0.59973,Biosynthetic
vnz_34745,NRPS,67.67064971,0.420809,0.539639,0.779796654,0.435511,0.643476,Biosynthetic
vnz_34750,NRPS,354.7785917,0.68898,0.484186,1.422963899,0.154747,0.321602,Biosynthetic
vnz_34755,NRPS,9.918351516,0.352706,0.900891,0.391507867,0.695422,0.82785,Biosynthetic
vnz_34760,NRPS,14.87502924,1.203337,0.719782,1.671806693,0.094562,0.224323,Biosynthetic
vnz_34765,NRPS,171.0502422,0.944207,0.51994,1.815991287,0.069372,0.179913,Biosynthetic
vnz_34770,NRPS,1263.912394,1.037904,0.439837,2.359748318,0.018287,0.064356,Biosynthetic
vnz_34775,NRPS,1390.611104,2.489206,0.509939,4.88137857,1.05E-06,1.12E-05,Biosynthetic
vnz_34780,NRPS,3157.528397,2.809729,0.52668,5.334791704,9.57E-08,1.24E-06,Biosynthetic
vnz_34785,NRPS,2924.337124,3.980442,0.502472,7.921720609,2.34E-15,8.71E-14,Biosynthetic
vnz_34790,NRPS,198.5408884,4.18422,0.548516,7.628261326,2.38E-14,7.82E-13,Biosynthetic
vnz_34795,NRPS,278.4257339,1.122337,0.486003,2.309323566,0.020926,0.071178,Biosynthetic
vnz_34800,NRPS,189.4193214,1.174496,0.448777,2.617105747,0.008868,0.035532,Biosynthetic
vnz_34805,NRPS,68.524268,1.403923,0.476607,2.945664473,0.003223,0.015337,Biosynthetic
vnz_34810,NRPS,78.00130173,0.807739,0.601067,1.343841652,0.179,0.356084,Biosynthetic
vnz_34815,NRPS,84.83788668,0.997569,0.508465,1.961921406,0.049772,0.140444,Biosynthetic
vnz_34820,NRPS,164.6256677,1.247103,0.434371,2.871054655,0.004091,0.018629,Biosynthetic
vnz_34825,NRPS,36.0209435,1.193629,0.576534,2.070351167,0.038419,0.114362,Biosynthetic
vnz_34830,NRPS,855.5100313,3.08608,0.496641,6.213906767,5.17E-10,9.26E-09,Biosynthetic
vnz_34835,NRPS,813.4357217,2.997458,0.491234,6.101894647,1.05E-09,1.78E-08,Biosynthetic
vnz_34840,NRPS,909.5719374,2.775269,0.483745,5.737043,9.63E-09,1.43E-07,Biosynthetic
vnz_34845,NRPS,887.4314674,2.749223,0.487022,5.644962018,1.65E-08,2.37E-07,Biosynthetic
vnz_34850,NRPS,52.96225729,0.503313,0.516654,0.974177588,0.329968,0.537669,Biosynthetic
vnz_34855,NRPS,53.72686397,-0.24468,0.440912,-0.55493935,0.578936,0.753103,Biosynthetic
vnz_34860,NRPS,4.347107065,0.495307,1.172642,0.42238561,0.672744,0.81473,Biosynthetic
