,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ID=TSS_00029,119.681889013902,3.64255314515059,0.393825735662165,9.24914959919042,2.2628580322394e-20,7.80686021122594e-19
ID=TSS_00467,4470.3597361395,8.43440838442406,0.309485196966496,27.2530268558762,1.53010433032553e-163,3.16731596377385e-161
ID=TSS_00762,241.055271181673,4.21493678425416,0.336438534717092,12.5281034997922,5.24007628671647e-36,5.42347895675155e-34
ID=TSS_02946,8244.03063360855,2.52815054946642,0.221949591977358,11.3906519356176,4.654937598378e-30,3.21190694288082e-28
ID=TSS_02978,75.5024609401231,-3.78391905566218,0.50040803434249,-7.56166727145788,3.97935247163597e-14,9.15251068476273e-13
ID=TSS_04187,86.1570753224846,-2.90275678762539,0.436226924021556,-6.65423573782429,2.84775921743417e-11,5.35896507280795e-10
ID=TSS_04583,472.120911132274,-2.77311437560235,0.265712755364009,-10.4365120590593,1.6890298930407e-25,8.74072969648561e-24
ID=TSS_05281,70.6265287047292,2.05161711181833,0.41028071562276,5.00052045757064,5.71757606812688e-07,7.8902549740151e-06
ID=TSS_05312,2444.21147397287,2.09627892368738,0.218087552824556,9.61209796954237,7.10855811938186e-22,2.94294306142409e-20
ID=TSS_05466,128.676291121936,2.75552127478897,0.384018555279468,7.17548992595853,7.20487031909601e-13,1.49140815605287e-11
ID=TSS_05943,150.130216491938,3.41527501437731,0.395831086526615,8.62811216861735,6.2372894768064e-18,1.84445560242703e-16
ID=TSS_06464,109.053462840915,-3.97584439100175,0.476666992550532,-8.34092658635318,7.37106489773095e-17,1.90726304228788e-15
ID=TSS_11392,53.146729547885,2.03944635019466,0.446135115198229,4.57136477429821,4.84557939244403e-06,5.2791312328206e-05
ID=TSS_12574,54.446894110984,2.24701401013354,0.46083489763825,4.87596321730265,1.08278785432032e-06,1.40085678652691e-05
