,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TSS_00193,200.138976824635,8.2076072398295,0.919409021072237,8.92704666988974,4.37532862091739e-19,1.16189282266584e-17
TSS_00705,98.7338469808726,2.66378512117313,0.414315450427785,6.42936467472489,1.28138377488239e-10,1.70139290109384e-09
TSS_01367,87.8522359227648,2.76551057005618,0.451777738639278,6.12139628301673,9.27588888627554e-10,1.10846872190993e-08
TSS_01454,86.4688865761586,2.07575823193635,0.447546227943296,4.6380867546924,3.51649188106587e-06,3.23246753682594e-05
TSS_01518,260.372986512339,6.0544229377951,0.477124649347806,12.6893945765976,6.77071278879887e-37,4.04550089130733e-35
TSS_01826,2174.36320925331,9.32613465161542,0.466480308992787,19.9925580390567,6.39327682444494e-89,1.52799316104234e-86
TSS_02417,145.593688158622,3.21811757289425,0.38391775873259,8.38230975175013,5.18990381297785e-17,1.24038701130171e-15
TSS_03199,188.425110466123,7.69245126186053,0.798017075683074,9.63945696935879,5.44753818848979e-22,1.85994518149866e-20
TSS_03201,52.1324732024171,9.29050861128859,1.5119336768068,6.14478581554592,8.00714868507158e-10,1.00721501880637e-08
TSS_04742,91.9071620037077,4.43786932403539,0.553859838677866,8.01262163118588,1.12288693519097e-15,2.43972706827856e-14
TSS_04795,69.8652367401556,2.0361845637855,0.445484759282227,4.57071655395402,4.86059347464321e-06,4.30252533496195e-05
TSS_04949,546.62526632641,2.11243685546526,0.291951528639503,7.2355738821072,4.63564691642071e-13,8.52245856172731e-12
TSS_05019,213.326859755956,5.78115551312722,0.478759647889537,12.0752773100483,1.42682422559564e-33,5.68351649862264e-32
TSS_05467,225.674945099267,6.04316870918607,0.500009795276866,12.0861006449681,1.25083805059646e-33,5.68351649862264e-32
TSS_06640,659.405143891989,-2.86257017390863,0.315333383424873,-9.07791665702478,1.10672856666125e-19,3.30635159290048e-18
TSS_07253,161.014996129108,2.61351154128555,0.397274172273361,6.57860924189962,4.748689214802e-11,7.09335451461048e-10
TSS_07714,524.366495677894,4.65302016486306,0.335357940735322,13.8747875021555,9.0059595271349e-44,7.17474775661747e-42
TSS_08341,112.898094568836,-2.19094552025408,0.424143434065723,-5.16557688811136,2.39698467326212e-07,2.72799684242688e-06
TSS_09297,811.692750485301,7.81314621362843,0.466531325602336,16.7473131703234,5.92421553519866e-63,7.0794375645624e-61
TSS_09334,158.504486130241,2.92732516273031,0.434583234706331,6.73593670659764,1.62877181403881e-11,2.59517642370184e-10
TSS_09338,64.4922250311226,4.00442154140618,0.550949703201576,7.2682161695277,3.64265553860799e-13,7.25495561439425e-12
