,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TSS_00070,110.75852046508,3.38543779564132,0.417768278775422,8.10362578404669,5.33450195454972e-16,3.06733862386609e-14
TSS_01160,222.540928538557,3.95659461180681,0.360699953377768,10.9692129836873,5.37380945120713e-28,1.23597617377764e-25
TSS_03709,91.8148280813606,-4.12941939655886,0.501255672597387,-8.23814995481487,1.74893899332524e-16,1.34085322821602e-14
TSS_03784,71.049545434757,-2.19021733270206,0.43823607845458,-4.99780241833527,5.79873544953958e-07,1.3337091533941e-05
TSS_04839,92.758969070447,-3.16669516831127,0.460165123290994,-6.88164966884888,5.91633689396186e-12,2.72151497122246e-10
TSS_05668,61.7072414400572,-2.06527919974753,0.459031948525102,-4.49920578814481,6.82078062370388e-06,0.000130731628620991
TSS_07136,120.678711416624,2.50133001111013,0.411621997509976,6.07676466816988,1.22631525317369e-09,4.70087513716581e-08
TSS_08153,118.641349869887,-4.24966185600004,0.499748344083172,-8.50360367635911,1.83794244523419e-17,2.11363381201932e-15
TSS_11047,70.9457698080344,2.24896291373546,0.435565053729629,5.16332266438315,2.42604415015501e-07,6.97487693169566e-06
TSS_11488,66.630879146529,-2.01776304544101,0.489184349236573,-4.12474979747401,3.71137993444759e-05,0.000533510865576841
TSS_12573,51.2492527942223,2.0020995162542,0.490789598802902,4.07934381889424,4.51629998966162e-05,0.000577082776456762
